,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
855,855.0,855.0,0.0,,,2,Single-player,1871960
856,856.0,856.0,1.0,,,21,Downloadable Content,1871960
857,857.0,857.0,2.0,,,22,Steam Achievements,1871960
858,858.0,858.0,3.0,,,23,Steam Cloud,1871960
859,859.0,859.0,0.0,,,2,Single-player,1872000
860,860.0,860.0,1.0,,,10,Game demo,1872000
861,861.0,861.0,0.0,,,2,Single-player,1872010
862,862.0,862.0,1.0,,,22,Steam Achievements,1872010
863,863.0,863.0,2.0,,,28,Full controller support,1872010
864,864.0,864.0,0.0,,,2,Single-player,1872040
865,865.0,865.0,1.0,,,28,Full controller support,1872040
866,866.0,866.0,2.0,,,23,Steam Cloud,1872040
867,867.0,867.0,0.0,,,2,Single-player,1872050
868,868.0,868.0,0.0,,,2,Single-player,1872060
869,869.0,869.0,0.0,,,2,Single-player,1872130
870,870.0,870.0,0.0,,,2,Single-player,1872140
871,871.0,871.0,1.0,,,22,Steam Achievements,1872140
872,872.0,872.0,2.0,,,28,Full controller support,1872140
873,873.0,873.0,3.0,,,23,Steam Cloud,1872140
874,874.0,874.0,0.0,,,50,Additional High-Quality Audio,1872150
875,875.0,875.0,0.0,,,2,Single-player,1872160
876,876.0,876.0,0.0,,,2,Single-player,1872170
877,877.0,877.0,1.0,,,22,Steam Achievements,1872170
878,878.0,878.0,2.0,,,18,Partial Controller Support,1872170
879,879.0,879.0,3.0,,,25,Steam Leaderboards,1872170
880,880.0,880.0,0.0,,,2,Single-player,1872200
881,881.0,881.0,1.0,,,22,Steam Achievements,1872200
882,882.0,882.0,2.0,,,28,Full controller support,1872200
883,883.0,883.0,3.0,,,23,Steam Cloud,1872200
884,884.0,884.0,0.0,,,2,Single-player,1872240
885,885.0,885.0,1.0,,,1,Multi-player,1872240
886,886.0,886.0,2.0,,,20,MMO,1872240
887,887.0,887.0,3.0,,,35,In-App Purchases,1872240
888,888.0,888.0,0.0,,,2,Single-player,1872250
889,889.0,889.0,0.0,,,2,Single-player,1872270
890,890.0,890.0,0.0,,,2,Single-player,1872330
891,891.0,891.0,0.0,,,2,Single-player,1872370
892,892.0,892.0,1.0,,,10,Game demo,1872370
893,893.0,893.0,0.0,,,2,Single-player,1872390
894,894.0,894.0,1.0,,,10,Game demo,1872390
895,895.0,895.0,2.0,,,23,Steam Cloud,1872390
896,896.0,896.0,0.0,,,2,Single-player,1872410
897,897.0,897.0,1.0,,,13,Captions available,1872410
898,898.0,898.0,0.0,,,2,Single-player,1871500
899,899.0,899.0,1.0,,,22,Steam Achievements,1871500
900,900.0,900.0,2.0,,,23,Steam Cloud,1871500
901,901.0,901.0,0.0,,,2,Single-player,1871510
902,902.0,902.0,1.0,,,22,Steam Achievements,1871510
903,903.0,903.0,0.0,,,2,Single-player,1871530
904,904.0,904.0,1.0,,,21,Downloadable Content,1871530
905,905.0,905.0,0.0,,,2,Single-player,1871560
906,906.0,906.0,1.0,,,10,Game demo,1871560
907,907.0,907.0,2.0,,,22,Steam Achievements,1871560
908,908.0,908.0,0.0,,,2,Single-player,1871570
909,909.0,909.0,1.0,,,22,Steam Achievements,1871570
910,910.0,910.0,2.0,,,28,Full controller support,1871570
911,911.0,911.0,0.0,,,2,Single-player,1871580
912,912.0,912.0,1.0,,,10,Game demo,1871580
913,913.0,913.0,0.0,,,2,Single-player,1871590
914,914.0,914.0,0.0,,,2,Single-player,1871600
915,915.0,915.0,1.0,,,18,Partial Controller Support,1871600
916,916.0,916.0,0.0,,,2,Single-player,1871620
917,917.0,917.0,1.0,,,22,Steam Achievements,1871620
918,918.0,918.0,2.0,,,23,Steam Cloud,1871620
919,919.0,919.0,3.0,,,17,Includes level editor,1871620
920,920.0,920.0,0.0,,,2,Single-player,1871650
921,921.0,921.0,0.0,,,2,Single-player,1871660
922,922.0,922.0,1.0,,,10,Game demo,1871660
923,923.0,923.0,0.0,,,2,Single-player,1871670
924,924.0,924.0,1.0,,,18,Partial Controller Support,1871670
925,925.0,925.0,0.0,,,2,Single-player,1871700
926,926.0,926.0,1.0,,,1,Multi-player,1871700
927,927.0,927.0,2.0,,,9,Co-op,1871700
928,928.0,928.0,3.0,,,39,Shared/Split Screen Co-op,1871700
929,929.0,929.0,4.0,,,24,Shared/Split Screen,1871700
930,930.0,930.0,5.0,,,28,Full controller support,1871700
931,931.0,931.0,0.0,,,2,Single-player,1871740
932,932.0,932.0,1.0,,,22,Steam Achievements,1871740
933,933.0,933.0,0.0,,,2,Single-player,1871750
