,steam_appid,name,title,description,selection_text,save_text,display_type,is_recurring_subscription,subs
0,611960,default,Buy Pilam Sky,,Select a purchase option,,0.0,false,"[{'packageid': 163759, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Pilam Sky - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,611970,default,Buy TimeToDie,,Select a purchase option,,0.0,false,"[{'packageid': 163762, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'TimeToDie - 19,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1999}]"
1,611970,subscriptions,Buy TimeToDie Subscription Plan,To be billed on a recurring basis.,"Starting at 27,99€ / month",,0.0,true,"[{'packageid': 200448, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': '27,99€ / month', 'option_description': '<p class=""game_purchase_subscription"">27,99€ at checkout, auto-renewed every 1 month(s) at 27,99€.</p>', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 2799}]"
0,611980,default,Buy Oik 2,,Select a purchase option,,0.0,false,"[{'packageid': 163765, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Oik 2 - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]"
0,612010,default,Buy Duel VR,,Select a purchase option,,0.0,false,"[{'packageid': 163775, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Duel VR - 9,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}]"
0,612030,default,Buy Harvest Simulator VR,,Select a purchase option,,0.0,false,"[{'packageid': 163781, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Harvest Simulator VR - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,612040,default,Buy Duel on Board,,Select a purchase option,,0.0,false,"[{'packageid': 163784, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Duel on Board - 6,59€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 659}]"
0,612060,default,Buy Indie Dream,,Select a purchase option,,0.0,false,"[{'packageid': 163790, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Indie Dream - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]"
0,612070,default,Buy Kio's Adventure,,Select a purchase option,,0.0,false,"[{'packageid': 163793, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': ""Kio's Adventure - 1,99€"", 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 199}]"
0,612100,default,Buy These nights in Cairo,,Select a purchase option,,0.0,false,"[{'packageid': 163802, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'These nights in Cairo - 7,90€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 790}]"
